frame,timestamp_s,inference_ms,fps,n_detections,avg_confidence,avg_depth_m,avg_area_px
325,32.902,39.52,26.13,0,0.0,0.0,0.0
326,33.0,37.95,26.14,0,0.0,0.0,0.0
327,33.102,39.14,26.14,0,0.0,0.0,0.0
328,33.202,39.54,26.15,0,0.0,0.0,0.0
329,33.303,40.31,26.12,0,0.0,0.0,0.0
330,33.404,40.66,26.09,1,0.7872,0.547,20235.0
331,33.497,35.48,26.07,2,0.7885,0.597,10270.0
332,33.602,39.36,26.05,2,0.7964,0.589,13191.5
333,33.697,35.73,26.11,2,0.8292,0.576,13515.5
334,33.801,38.7,26.11,2,0.8424,0.56,13981.5
335,33.9,37.59,26.08,0,0.0,0.0,0.0
336,34.003,40.6,25.95,2,0.7415,0.547,15849.5
337,34.101,38.6,25.96,1,0.8877,0.496,19952.0
338,34.202,38.6,25.95,0,0.0,0.0,0.0
339,34.302,38.88,25.95,0,0.0,0.0,0.0
340,34.403,39.85,25.95,0,0.0,0.0,0.0
341,34.504,40.15,25.94,0,0.0,0.0,0.0
342,34.602,39.09,25.93,0,0.0,0.0,0.0
343,34.702,38.41,25.95,0,0.0,0.0,0.0
344,34.803,38.9,25.94,0,0.0,0.0,0.0
345,34.902,38.64,25.96,0,0.0,0.0,0.0
346,35.004,39.55,25.94,0,0.0,0.0,0.0
347,35.098,35.02,26.04,0,0.0,0.0,0.0
348,35.197,34.72,26.14,0,0.0,0.0,0.0
349,35.303,39.75,26.08,0,0.0,0.0,0.0
350,35.404,39.64,26.0,0,0.0,0.0,0.0
351,35.504,39.91,25.87,0,0.0,0.0,0.0
352,35.598,34.57,25.94,0,0.0,0.0,0.0
353,35.697,34.53,26.03,0,0.0,0.0,0.0
354,35.798,34.49,26.14,0,0.0,0.0,0.0
355,35.898,34.37,26.25,0,0.0,0.0,0.0
356,35.998,34.34,26.34,0,0.0,0.0,0.0
357,36.101,36.87,26.39,0,0.0,0.0,0.0
358,36.202,37.93,26.43,0,0.0,0.0,0.0
359,36.304,39.15,26.45,1,0.5415,0.32,3977.0
360,36.403,38.17,26.51,1,0.8794,0.325,13620.0
361,36.502,37.68,26.46,0,0.0,0.0,0.0
362,36.602,38.3,26.48,0,0.0,0.0,0.0
363,36.702,38.11,26.43,0,0.0,0.0,0.0
364,36.803,38.12,26.44,0,0.0,0.0,0.0
365,36.903,38.22,26.43,0,0.0,0.0,0.0
366,37.002,37.54,26.5,0,0.0,0.0,0.0
367,37.103,37.81,26.52,0,0.0,0.0,0.0
368,37.201,35.69,26.59,0,0.0,0.0,0.0
369,37.305,39.04,26.58,0,0.0,0.0,0.0
370,37.404,38.42,26.62,0,0.0,0.0,0.0
371,37.505,39.08,26.64,0,0.0,0.0,0.0
372,37.605,39.21,26.64,0,0.0,0.0,0.0
373,37.705,39.27,26.62,0,0.0,0.0,0.0
374,37.805,39.25,26.61,0,0.0,0.0,0.0
375,37.905,38.74,26.61,0,0.0,0.0,0.0
376,38.005,39.64,26.61,0,0.0,0.0,0.0
377,38.104,39.12,26.51,0,0.0,0.0,0.0
378,38.205,38.86,26.41,0,0.0,0.0,0.0
379,38.306,39.83,26.41,0,0.0,0.0,0.0
380,38.405,38.57,26.44,0,0.0,0.0,0.0
381,38.506,39.6,26.44,0,0.0,0.0,0.0
382,38.605,38.61,26.35,0,0.0,0.0,0.0
383,38.706,39.36,26.24,0,0.0,0.0,0.0
384,38.806,38.92,26.14,0,0.0,0.0,0.0
385,38.905,38.77,26.04,0,0.0,0.0,0.0
386,39.007,40.1,25.91,0,0.0,0.0,0.0
387,39.107,39.88,25.84,0,0.0,0.0,0.0
388,39.205,38.76,25.82,0,0.0,0.0,0.0
389,39.307,39.87,25.81,0,0.0,0.0,0.0
390,39.405,38.2,25.8,0,0.0,0.0,0.0
391,39.506,38.81,25.78,0,0.0,0.0,0.0
392,39.606,38.98,25.76,0,0.0,0.0,0.0
393,39.707,39.59,25.73,0,0.0,0.0,0.0
394,39.804,37.21,25.75,0,0.0,0.0,0.0
395,39.906,38.37,25.75,0,0.0,0.0,0.0
396,40.006,39.12,25.71,0,0.0,0.0,0.0
397,40.107,38.87,25.69,0,0.0,0.0,0.0
